,0
0,Death Note
1,Shingeki no Kyojin
2,Sword Art Online
3,Angel Beats!
4,One Punch Man
5,Code Geass: Hangyaku no Lelouch
6,Toradora!
7,Fullmetal Alchemist: Brotherhood
8,No Game No Life
9,Tokyo Ghoul
10,Sen to Chihiro no Kamikakushi
11,Naruto
12,Kimi no Na wa.
13,Steins;Gate
14,Code Geass: Hangyaku no Lelouch R2
15,Boku no Hero Academia
16,Mirai Nikki
17,Elfen Lied
18,Noragami
19,Highschool of the Dead
20,Another
21,Ao no Exorcist
22,Boku dake ga Inai Machi
23,Ano Hi Mita Hana no Namae wo Bokutachi wa Mada Shiranai.
24,Clannad
25,Re:Zero kara Hajimeru Isekai Seikatsu
26,Sword Art Online II
27,Shingeki no Kyojin Season 2
28,Koe no Katachi
29,Boku no Hero Academia 2nd Season
30,Kono Subarashii Sekai ni Shukufuku wo!
31,Hataraku Maou-sama!
32,Fullmetal Alchemist
33,Bakemonogatari
34,Neon Genesis Evangelion
35,Akame ga Kill!
36,Shigatsu wa Kimi no Uso
37,Tengen Toppa Gurren Lagann
38,Tokyo Ghoul √A
39,Mahou Shoujo Madoka★Magica
40,Howl no Ugoku Shiro
41,Kiseijuu: Sei no Kakuritsu
42,Nanatsu no Taizai
43,Yahari Ore no Seishun Love Comedy wa Machigatteiru.
44,Suzumiya Haruhi no Yuuutsu
45,Durarara!!
46,Fate/Zero
47,Death Parade
48,Clannad: After Story
49,Chuunibyou demo Koi ga Shitai!
50,Mononoke Hime
51,Byousoku 5 Centimeter
52,Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka
53,High School DxD
54,K-On!
55,Psycho-Pass
56,Shokugeki no Souma
57,Charlotte
58,Kill la Kill
59,Soul Eater
60,Deadman Wonderland
61,Mob Psycho 100
62,Hunter x Hunter (2011)
63,Cowboy Bebop
64,Fate/Zero 2nd Season
65,Noragami Aragoto
66,Kimetsu no Yaiba
67,Ouran Koukou Host Club
68,Overlord
69,Toki wo Kakeru Shoujo
70,Sakura-sou no Pet na Kanojo
71,Kono Subarashii Sekai ni Shukufuku wo! 2
72,Ansatsu Kyoushitsu
73,Kaichou wa Maid-sama!
74,Boku no Hero Academia 3rd Season
75,Guilty Crown
76,Fate/stay night
77,Dragon Ball Z
78,Haikyuu!!
79,Zero no Tsukaima
80,Shingeki no Kyojin Season 3
81,Tonari no Totoro
82,Tonari no Kaibutsu-kun
83,Nisekoi
84,Ore no Imouto ga Konnani Kawaii Wake ga Nai
85,Zankyou no Terror
86,Boku wa Tomodachi ga Sukunai
87,Hyouka
88,Darker than Black: Kuro no Keiyakusha
89,Yahari Ore no Seishun Love Comedy wa Machigatteiru. Zoku
90,Samurai Champloo
91,Kyoukai no Kanata
92,Btooom!
93,Shingeki no Kyojin Season 3 Part 2
94,Yakusoku no Neverland
95,Fairy Tail
96,Nisemonogatari
97,Kuroshitsuji
98,Fate/stay night: Unlimited Blade Works
99,Owari no Seraph
100,Kuroko no Basket
101,Date A Live
102,Log Horizon
103,Black Lagoon
104,School Days
105,Gekkan Shoujo Nozaki-kun
106,Higurashi no Naku Koro ni
107,Shokugeki no Souma: Ni no Sara
108,Ookami to Koushinryou
109,Kotonoha no Niwa
110,FLCL
111,Dragon Ball
112,JoJo no Kimyou na Bouken (TV)
113,Rosario to Vampire
114,ReLIFE
115,High School DxD New
116,Kaguya-sama wa Kokurasetai: Tensai-tachi no Renai Zunousen
117,Neon Genesis Evangelion: The End of Evangelion
118,Danganronpa: Kibou no Gakuen to Zetsubou no Koukousei The Animation
119,Baccano!
120,Bleach
121,Kami nomi zo Shiru Sekai
122,Black Bullet
123,Toaru Majutsu no Index
124,Haikyuu!! Second Season
125,Magi: The Labyrinth of Magic
126,Violet Evergarden
127,Seishun Buta Yarou wa Bunny Girl Senpai no Yume wo Minai
128,Baka to Test to Shoukanjuu
129,Kokoro Connect
130,Kobayashi-san Chi no Maid Dragon
131,Kore wa Zombie Desu ka?
132,Made in Abyss
133,Ookami Kodomo no Ame to Yuki
134,Kimi ni Todoke
135,Prison School
136,Akira
137,Fate/stay night: Unlimited Blade Works 2nd Season
138,Kakegurui
139,Hotarubi no Mori e
140,Mahouka Koukou no Rettousei
141,NHK ni Youkoso!
142,Zero no Tsukaima: Futatsuki no Kishi
143,Suzumiya Haruhi no Yuuutsu (2009)
144,Danshi Koukousei no Nichijou
145,Ansatsu Kyoushitsu 2nd Season
146,Golden Time
147,Darling in the FranXX
148,Tate no Yuusha no Nariagari
149,Vampire Knight
150,Naruto: Shippuuden
151,Summer Wars
152,One Punch Man 2nd Season
153,Suzumiya Haruhi no Shoushitsu
154,Hellsing
155,"Gate: Jieitai Kanochi nite, Kaku Tatakaeri"
156,Lucky☆Star
157,IS: Infinite Stratos
158,Shakugan no Shana
159,K
160,K-On!!
161,Accel World
162,Claymore
163,Boku wa Tomodachi ga Sukunai Next
164,Higashi no Eden
165,Mob Psycho 100 II
166,Haikyuu!!: Karasuno Koukou vs. Shiratorizawa Gakuen Koukou
167,Hotaru no Haka
168,Kuroko no Basket 2nd Season
169,Nekomonogatari: Kuro
170,Chuunibyou demo Koi ga Shitai! Ren
171,Rakudai Kishi no Cavalry
172,Steins;Gate: Oukoubakko no Poriomania
173,Koukaku Kidoutai
174,Dr. Stone
175,Yamada-kun to 7-nin no Majo (TV)
176,JoJo no Kimyou na Bouken Part 3: Stardust Crusaders
177,Sankarea
178,Barakamon
179,Koutetsujou no Kabaneri
180,Black Lagoon: The Second Barrage
181,Amagi Brilliant Park
182,Bungou Stray Dogs
183,Kiss x Sis (TV)
184,Zero no Tsukaima: Princesses no Rondo
185,Great Teacher Onizuka
186,Overlord II
187,Steins;Gate Movie: Fuka Ryouiki no Déjà vu
188,"Clannad: Mou Hitotsu no Sekai, Tomoyo-hen"
189,Watashi ga Motenai no wa Dou Kangaetemo Omaera ga Warui!
190,Blood Lad
191,Ao Haru Ride
192,Goblin Slayer
193,Tensei shitara Slime Datta Ken
194,Shokugeki no Souma: San no Sara
195,Full Metal Panic!
196,To LOVE-Ru
197,Trinity Seven
198,Shimoneta to Iu Gainen ga Sonzai Shinai Taikutsu na Sekai
199,Nisekoi:
200,Dragon Ball GT
201,Free!
202,Chobits
203,Bakuman.
204,Ore no Imouto ga Konnani Kawaii Wake ga Nai.
205,Plastic Memories
206,Boku no Hero Academia 4th Season
207,Magi: The Kingdom of Magic
208,Monogatari Series: Second Season
209,Trigun
210,Youkoso Jitsuryoku Shijou Shugi no Kyoushitsu e (TV)
211,Youjo Senki
212,Kami nomi zo Shiru Sekai II
213,Owari no Seraph: Nagoya Kessen-hen
214,Pokemon
215,Majo no Takkyuubin
216,High School DxD BorN
217,Sukitte Ii na yo.
218,JoJo no Kimyou na Bouken Part 3: Stardust Crusaders 2nd Season
219,Mondaiji-tachi ga Isekai kara Kuru Sou Desu yo?
220,Evangelion: 1.0 You Are (Not) Alone
221,Lovely★Complex
222,Higurashi no Naku Koro ni Kai
223,Ookami to Koushinryou II
224,Usagi Drop
225,Psycho-Pass 2
226,Nanatsu no Taizai: Imashime no Fukkatsu
227,Masamune-kun no Revenge
228,Ichiban Ushiro no Daimaou
229,Mayo Chiki!
230,Rosario to Vampire Capu2
231,Fullmetal Alchemist: The Conqueror of Shamballa
232,Hai to Gensou no Grimgar
233,Date A Live II
234,Hellsing Ultimate
235,Shiki
236,Kara no Kyoukai 1: Fukan Fuukei
237,Toaru Kagaku no Railgun
238,Monster Musume no Iru Nichijou
239,Darker than Black: Ryuusei no Gemini
240,Sword Art Online Movie: Ordinal Scale
241,Devilman: Crybaby
242,Rokka no Yuusha
243,Aldnoah.Zero
244,Akatsuki no Yona
245,Kekkai Sensen
246,Fruits Basket
247,Eromanga-sensei
248,"Gate: Jieitai Kanochi nite, Kaku Tatakaeri 2nd Season"
249,Seitokai Yakuindomo
250,Sora no Otoshimono
251,Working!!
252,Hentai Ouji to Warawanai Neko.
253,Tenkuu no Shiro Laputa
254,Overlord III
255,Shinsekai yori
256,Sakamoto Desu ga?
257,Himouto! Umaru-chan
258,Vampire Knight: Guilty
259,Paprika
260,Evangelion: 2.0 You Can (Not) Advance
261,Kuroko no Basket 3rd Season
262,B-gata H-kei
263,Kuroshitsuji II
264,"Clannad: After Story - Mou Hitotsu no Sekai, Kyou-hen"
265,"Yosuga no Sora: In Solitude, Where We Are Least Alone."
266,Yuri!!! on Ice
267,Nichijou
268,Kiznaiver
269,Gake no Ue no Ponyo
270,Kaguya-sama wa Kokurasetai?: Tensai-tachi no Renai Zunousen
271,Zetsuen no Tempest
272,Perfect Blue
273,Toaru Majutsu no Index II
274,Kimi ni Todoke 2nd Season
275,Log Horizon 2nd Season
276,JoJo no Kimyou na Bouken Part 4: Diamond wa Kudakenai
277,Grisaia no Kajitsu
278,Saenai Heroine no Sodatekata
279,Gosick
280,No Game No Life: Zero
281,Baka to Test to Shoukanjuu Ni!
282,Gakusen Toshi Asterisk
283,Strike the Blood
284,Tsurezure Children
285,Kore wa Zombie Desu ka? of the Dead
286,Tokyo Ghoul:re
287,Bleach Movie 1: Memories of Nobody
288,Mushishi
289,Shinmai Maou no Testament
290,Highschool of the Dead: Drifters of the Dead
291,Sword Art Online: Alicization
292,Ore no Kanojo to Osananajimi ga Shuraba Sugiru
293,Digimon Adventure
294,Durarara!!x2 Shou
295,Kaze no Stigma
296,Kenpuu Denki Berserk
297,Inu x Boku SS
298,Shakugan no Shana II (Second)
299,Wotaku ni Koi wa Muzukashii
300,Rokudenashi Majutsu Koushi to Akashic Records
301,Final Fantasy VII: Advent Children
302,Mirai Nikki: Redial
303,Serial Experiments Lain
304,Full Metal Panic? Fumoffu
305,Air
306,InuYasha
307,"Ore no Nounai Sentakushi ga, Gakuen Love Comedy wo Zenryoku de Jama Shiteiru"
308,Shelter
309,Kaze no Tani no Nausicaä
310,Sekirei
311,D.Gray-man
312,Zero no Tsukaima F
313,Ergo Proxy
314,ChäoS;HEAd
315,Orange
316,Shokugeki no Souma: San no Sara - Tootsuki Ressha-hen
317,Angel Beats!: Another Epilogue
318,Natsume Yuujinchou
319,Kara no Kyoukai 2: Satsujin Kousatsu (Zen)
320,Ao no Exorcist: Kyoto Fujouou-hen
321,Gamers!
322,Absolute Duo
323,Vinland Saga
324,Dororo
325,Nanatsu no Taizai: Seisen no Shirushi
326,Kamisama Hajimemashita
327,Gangsta.
328,Bungou Stray Dogs 2nd Season
329,Nagi no Asu kara
330,Tasogare Otome x Amnesia
331,Bakuman. 2nd Season
332,Kuzu no Honkai
333,Ore Monogatari!!
334,Fate/stay night: Unlimited Blade Works Prologue
335,Love Live! School Idol Project
336,Akagami no Shirayuki-hime
337,Hidan no Aria
338,Re:Zero kara Hajimeru Isekai Seikatsu 2nd Season
339,Naruto Movie 1: Dai Katsugeki!! Yuki Hime Shinobu Houjou Dattebayo!
340,Blend S
341,Hanamonogatari
342,Fairy Tail (2014)
343,Gintama
344,Special A
345,Saiki Kusuo no Ψ-nan
346,Kokoro Connect: Michi Random
347,Pokemon Movie 01: Mewtwo no Gyakushuu
348,Tsukimonogatari
349,Kami no Tou
350,Ajin
351,Danna ga Nani wo Itteiru ka Wakaranai Ken
352,Kizumonogatari I: Tekketsu-hen
353,Black★Rock Shooter (OVA)
354,Kara no Kyoukai 3: Tsuukaku Zanryuu
355,Black★Rock Shooter (TV)
356,Kanon (2006)
357,Bokura wa Minna Kawai-sou
358,D-Frag!
359,Ano Natsu de Matteru
360,Netoge no Yome wa Onnanoko ja Nai to Omotta?
361,Full Metal Panic! The Second Raid
362,Cowboy Bebop: Tengoku no Tobira
363,Maoyuu Maou Yuusha
364,Kami nomi zo Shiru Sekai: Megami-hen
365,Bleach Movie 2: The DiamondDust Rebellion - Mou Hitotsu no Hyourinmaru
366,Mahou Shoujo Madoka★Magica Movie 3: Hangyaku no Monogatari
367,Sword Art Online: Extra Edition
368,"Dakara Boku wa, H ga Dekinai."
369,Little Witch Academia
370,Kono Subarashii Sekai ni Shukufuku wo!: Kono Subarashii Choker ni Shukufuku wo!
371,Enen no Shouboutai
372,Mekakucity Actors
373,Pandora Hearts
374,Air Gear
375,91 Days
376,The Last: Naruto the Movie
377,"Elfen Lied: Tooriame nite Arui wa, Shoujo wa Ikani Shite Sono Shinjou ni Itatta ka? - Regenschauer"
378,Koukyoushihen Eureka Seven
379,Golden Boy
380,5-toubun no Hanayome
381,School Rumble
382,Yuu☆Yuu☆Hakusho
383,Inuyashiki
384,Monster
385,Katanagatari
386,Net-juu no Susume
387,Cardcaptor Sakura
388,Motto To LOVE-Ru
389,Arakawa Under the Bridge
390,Ore no Imouto ga Konnani Kawaii Wake ga Nai Specials
391,Isekai Maou to Shoukan Shoujo no Dorei Majutsu
392,Rurouni Kenshin: Meiji Kenkaku Romantan
393,Nyan Koi!
394,Stranger: Mukou Hadan
395,Hagure Yuusha no Aesthetica
396,Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka II
397,Steins;Gate 0
398,Beastars
399,Tenki no Ko
400,Beelzebub
401,Suisei no Gargantia
402,Kara no Kyoukai 4: Garan no Dou
403,Drifters
404,Sayonara Zetsubou Sensei
405,Gakkougurashi!
406,Campione!: Matsurowanu Kamigami to Kamigoroshi no Maou
407,C: The Money of Soul and Possibility Control
408,Shingeki no Kyojin OVA
409,Devil May Cry
410,Love Hina
411,Sora no Otoshimono: Forte
412,Musaigen no Phantom World
413,Mahoutsukai no Yome
414,Working'!!
415,Grand Blue
416,Shingeki no Kyojin: Kuinaki Sentaku
417,K-On! Movie
418,Freezing
419,Ookami Shoujo to Kuro Ouji
420,Bakuman. 3rd Season
421,Kämpfer
422,Kizumonogatari II: Nekketsu-hen
423,Nana
424,Shaman King
425,Outbreak Company
426,Kara no Kyoukai 5: Mujun Rasen
427,3-gatsu no Lion
428,Corpse Party: Tortured Souls - Bougyakusareta Tamashii no Jukyou
429,IS: Infinite Stratos 2
430,Aldnoah.Zero 2nd Season
431,Tokyo Ravens
432,Chihayafuru
433,Kono Subarashii Sekai ni Shukufuku wo!: Kurenai Densetsu
434,Shuffle!
435,Naruto: Shippuuden Movie 1
436,Gantz
437,Ben-To
438,Owarimonogatari
439,Mikakunin de Shinkoukei
440,Ookami-san to Shichinin no Nakama-tachi
441,Kimi no Suizou wo Tabetai
442,Katekyo Hitman Reborn!
443,Sakamichi no Apollon
444,ef: A Tale of Memories.
445,Hitsugi no Chaika
446,Gokukoku no Brynhildr
447,Durarara!!x2 Ten
448,Bakemono no Ko
449,Amagami SS
450,Grisaia no Rakuen
451,Aho Girl
452,Darker than Black: Kuro no Keiyakusha Gaiden
453,Yu☆Gi☆Oh! Duel Monsters
454,Baccano! Specials
455,Little Witch Academia (TV)
456,Inou-Battle wa Nichijou-kei no Naka de
457,Hibike! Euphonium
458,Redline
459,No.6
460,Seto no Hanayome
461,One Punch Man: Road to Hero
462,Shingeki no Bahamut: Genesis
463,To LOVE-Ru Darkness
464,Death Billiards
465,Gabriel DropOut
466,Boruto: Naruto the Movie
467,Nodame Cantabile
468,Yahari Ore no Seishun Love Comedy wa Machigatteiru. OVA
469,Azumanga Daioh
470,Boku no Hero Academia the Movie 1: Futari no Hero
471,Karigurashi no Arrietty
472,JoJo no Kimyou na Bouken Part 5: Ougon no Kaze
473,Hinamatsuri
474,Evangelion: 3.0 You Can (Not) Redo
475,Kizumonogatari III: Reiketsu-hen
476,Demi-chan wa Kataritai
477,Yuru Yuri
478,Kakegurui××
479,Sword Art Online: Alicization - War of Underworld
480,Bleach Movie 3: Fade to Black - Kimi no Na wo Yobu
481,Afro Samurai
482,Noragami OVA
483,Hunter x Hunter
484,Denpa Onna to Seishun Otoko
485,Toaru Kagaku no Railgun S
486,New Game!
487,Panty & Stocking with Garterbelt
488,MM!
489,Kotoura-san
490,Blood+
491,Koukaku Kidoutai: Stand Alone Complex
492,Zoku Natsume Yuujinchou
493,Bishoujo Senshi Sailor Moon
494,God Eater
495,Hajime no Ippo
496,Haiyore! Nyaruko-san
497,Bokusatsu Tenshi Dokuro-chan
498,Mimi wo Sumaseba
499,Gintama'
500,Gakusen Toshi Asterisk 2nd Season
501,Rurouni Kenshin: Meiji Kenkaku Romantan - Tsuioku-hen
502,Isshuukan Friends.
503,Neko no Ongaeshi
504,Sword Art Online Alternative: Gun Gale Online
505,Non Non Biyori
506,Oda Nobuna no Yabou
507,Machine-Doll wa Kizutsukanai
508,Shinchou Yuusha: Kono Yuusha ga Ore Tueee Kuse ni Shinchou Sugiru
509,Domestic na Kanojo
510,Tsuki ga Kirei
511,Haikyuu!!: To the Top
512,Free!: Eternal Summer
513,Fate/stay night Movie: Unlimited Blade Works
514,Kara no Kyoukai 6: Boukyaku Rokuon
515,Hataraku Saibou (TV)
516,Itazura na Kiss
517,Naruto Movie 2: Dai Gekitotsu! Maboroshi no Chiteiiseki Dattebayo!
518,True Tears
519,Skip Beat!
520,Hanasaku Iroha
521,Durarara!! Specials
522,Jigoku Shoujo
523,Tamako Market
524,Isekai wa Smartphone to Tomo ni.
525,Pokemon Movie 02: Maboroshi no Pokemon Lugia Bakutan
526,Another: The Other - Inga
527,Naruto: Shippuuden Movie 2 - Kizuna
528,Beck
529,"Kanojo, Okarishimasu"
530,Death March kara Hajimaru Isekai Kyousoukyoku
531,Jormungand
532,Dagashi Kashi
533,Dragon Ball Super
534,Seireitsukai no Blade Dance
535,Kanokon
536,Kara no Kyoukai 7: Satsujin Kousatsu (Go)
537,Digimon Adventure 02
538,Detroit Metal City
539,The God of High School
540,Tokyo Magnitude 8.0
541,Black Lagoon: Roberta's Blood Trail
542,Hajimete no Gal
543,K-On!: Live House!
544,Chuunibyou demo Koi ga Shitai!: Kirameki no... Slapstick Noel
545,Gin no Saji
546,11eyes
547,Angel Beats! Specials
548,Asu no Yoichi!
549,Mangaka-san to Assistant-san to The Animation
550,Ga-Rei: Zero
551,Higashi no Eden Movie I: The King of Eden
552,Myself; Yourself
553,Black Cat (TV)
554,Tanaka-kun wa Itsumo Kedaruge
555,xxxHOLiC
556,Durarara!!x2 Ketsu
557,Mousou Dairinin
558,Sekirei: Pure Engagement
559,Karakai Jouzu no Takagi-san
560,Acchi Kocchi (TV)
561,Rozen Maiden
562,Naruto Movie 3: Dai Koufun! Mikazuki Jima no Animaru Panikku Dattebayo!
563,Shijou Saikyou no Deshi Kenichi
564,Madan no Ou to Vanadis
565,Seishun Buta Yarou wa Yumemiru Shoujo no Yume wo Minai
566,Omamori Himari
567,Lucky☆Star: Original na Visual to Animation
568,Tokyo Ghoul:re 2nd Season
569,Naruto: Shippuuden Movie 6 - Road to Ninja
570,Megalo Box
571,Love Live! School Idol Project 2nd Season
572,Phantom: Requiem for the Phantom
573,Densetsu no Yuusha no Densetsu
574,Chrno Crusade
575,"Kumo no Mukou, Yakusoku no Basho"
576,Code:Breaker
577,Higurashi no Naku Koro ni Rei
578,Wolf's Rain
579,Princess Lover!
580,Sora yori mo Tooi Basho
581,Hoshi no Koe
582,Tokyo Godfathers
583,Binbougami ga!
584,Arslan Senki (TV)
585,Clannad Movie
586,Onegai☆Teacher
587,Shokugeki no Souma: Shin no Sara
588,Pokemon: The Origin
589,"Maou Gakuin no Futekigousha: Shijou Saikyou no Maou no Shiso, Tensei shite Shison-tachi no Gakkou e"
590,Pokemon Movie 03: Kesshoutou no Teiou Entei
591,Ookami to Koushinryou II: Ookami to Kohakuiro no Yuuutsu
592,High School DxD OVA
593,Oniichan dakedo Ai sae Areba Kankeinai yo ne!
594,Kono Subarashii Sekai ni Shukufuku wo! 2: Kono Subarashii Geijutsu ni Shukufuku wo!
595,Mawaru Penguindrum
596,Witch Craft Works
597,Mobile Suit Gundam 00
598,Neon Genesis Evangelion: Death & Rebirth
599,Shirobako
600,Mirai Nikki OVA
601,Papa no Iukoto wo Kikinasai!
602,Dance in the Vampire Bund
603,Ao no Exorcist Movie
604,Yuusha ni Narenakatta Ore wa Shibushibu Shuushoku wo Ketsui Shimashita.
605,Saiki Kusuo no Ψ-nan 2
606,Natsume Yuujinchou San
607,Hyouka: Motsubeki Mono wa
608,Kamisama no Memochou
609,Grisaia no Meikyuu: Caprice no Mayu 0
610,Kuroshitsuji: Book of Circus
611,Shinmai Maou no Testament Burst
612,Darker than Black: Kuro no Keiyakusha - Sakura no Hana no Mankai no Shita
613,Magi: Sinbad no Bouken (TV)
614,Danna ga Nani wo Itteiru ka Wakaranai Ken 2 Sure-me
615,Okusama ga Seitokaichou!
616,Shuumatsu Nani Shitemasu ka? Isogashii Desu ka? Sukutte Moratte Ii Desu ka?
617,One Piece Film: Strong World
618,Ore no Imouto ga Konnani Kawaii Wake ga Nai. Specials
619,Fate/Apocrypha
620,Citrus
621,Dimension W
622,Junjou Romantica
623,Ping Pong the Animation
624,Ladies versus Butlers!
625,ReLIFE: Kanketsu-hen
626,Kokoro ga Sakebitagatterunda.
627,Rainbow: Nisha Rokubou no Shichinin
628,Akagami no Shirayuki-hime 2nd Season
629,Sakasama no Patema
630,Yuru Camp△
631,Chihayafuru 2
632,Tamako Love Story
633,Keijo!!!!!!!!
634,Gyakkyou Burai Kaiji: Ultimate Survivor
635,School Rumble Ni Gakki
636,Zombieland Saga
637,Kenja no Mago
638,D.N.Angel
639,Maji de Watashi ni Koi Shinasai!
640,To LOVE-Ru OVA
641,Nejimaki Seirei Senki: Tenkyou no Alderamin
642,Midori no Hibi
643,Arifureta Shokugyou de Sekai Saikyou
644,Gintama': Enchousen
645,One Punch Man Specials
646,Toradora!: Bentou no Gokui
647,Shakugan no Shana III (Final)
648,Tsubasa Chronicle
649,Re:Creators
650,Akuma no Riddle
651,Kaze Tachinu
652,Psycho-Pass Movie
653,Ano Hi Mita Hana no Namae wo Bokutachi wa Mada Shiranai. Movie
654,Seitokai no Ichizon
655,Nurarihyon no Mago
656,Canaan
657,Dragon Ball Kai
658,Kurenai no Buta
659,Kuragehime
660,Dragon Ball Z Movie 14: Kami to Kami
661,Naruto: Shippuuden Movie 4 - The Lost Tower
662,Houseki no Kuni (TV)
663,Working!!!
664,Minami-ke
665,Plastic Neesan
666,Busou Shoujo Machiavellianism
667,Karin
668,Yahari Ore no Seishun Love Comedy wa Machigatteiru. Kan
669,Berserk: Ougon Jidai-hen I - Haou no Tamago
670,Akaneiro ni Somaru Saka
671,Gantz 2nd Stage
672,Ajin 2nd Season
673,Kannagi
674,Kiss x Sis
675,Saijaku Muhai no Bahamut
676,Hamatora The Animation
677,Ghost Hunt
678,Asobi Asobase
